player_id,prev year,next year,class transition,type,prev conf,next conf,prev BB%,next BB%,prev K%,next K%,prev OBP,next OBP,prev SLG,next SLG,prev OPS,next OPS
galvan000ryl,2024,2025,2 to 3,Transfer,B12,SEC,13.0,19.7,28.000000000000004,27.6,0.392,0.452,0.506,0.613,0.898,1.065
gaspar002wil,2024,2025,1 to 2,Transfer,B12,SEC,4.8,11.799999999999999,32.9,25.7,0.3,0.339,0.495,0.512,0.795,0.851
mendoz000eth,2024,2025,1 to 2,Transfer,P12,SEC,5.8999999999999995,13.4,9.9,17.5,0.367,0.437,0.443,0.476,0.81,0.912
schues000kim,2024,2025,3 to 4,Transfer,B12,SEC,11.4,8.5,14.2,16.5,0.42,0.377,0.601,0.489,1.021,0.866
burnet000rob,2024,2025,3 to 4,Transfer,BigS,SEC,17.1,16.400000000000002,23.799999999999997,20.3,0.454,0.477,0.656,0.693,1.11,1.169
obee--000dev,2024,2025,3 to 4,Transfer,ACC,SEC,11.200000000000001,18.0,23.3,27.0,0.399,0.388,0.599,0.462,0.998,0.85
zaboro000ryl,2024,2025,3 to 4,Transfer,MAC,SEC,16.5,15.8,16.5,21.7,0.421,0.5,0.532,0.788,0.952,1.288
kilen-000gav,2024,2025,2 to 3,Transfer,ACC,SEC,3.0,12.2,9.4,11.0,0.361,0.441,0.591,0.671,0.952,1.112
mancin000mik,2024,2025,2 to 3,Transfer,SBC,SEC,11.899999999999999,15.4,19.2,23.599999999999998,0.419,0.398,0.586,0.393,1.006,0.791
torres002jas,2024,2025,2 to 3,Transfer,ACC,SEC,5.7,13.5,26.400000000000002,31.900000000000002,0.385,0.392,0.529,0.443,0.914,0.836
snow--000eri,2024,2025,2 to 3,Transfer,Amer,SEC,7.3,9.9,14.6,10.299999999999999,0.345,0.403,0.335,0.493,0.68,0.896
steele000luc,2024,2025,2 to 3,Transfer,SoCo,SEC,14.2,14.899999999999999,15.0,17.8,0.364,0.411,0.52,0.491,0.884,0.901
humphr000isa,2024,2025,3 to 4,Transfer,ACC,SEC,12.2,12.0,14.499999999999998,25.0,0.412,0.396,0.565,0.56,0.977,0.956
moerma000rya,2024,2025,3 to 4,Transfer,BTen,SEC,8.799999999999999,10.8,21.099999999999998,22.3,0.37,0.385,0.58,0.498,0.95,0.882
sanfor000mit,2024,2025,5 to 6,Transfer,SLC,SEC,9.9,13.100000000000001,17.5,20.8,0.46,0.423,0.708,0.606,1.168,1.029
carmic000eas,2024,2025,2 to 3,Transfer,B12,SEC,6.9,9.1,14.899999999999999,15.7,0.406,0.398,0.563,0.613,0.969,1.011
willit000jax,2024,2025,1 to 2,Transfer,B12,SEC,13.200000000000001,14.399999999999999,15.299999999999999,18.9,0.376,0.409,0.484,0.495,0.86,0.904
reese-000ace,2024,2025,1 to 2,Transfer,B12,SEC,14.899999999999999,9.9,19.0,19.8,0.395,0.422,0.506,0.718,0.901,1.14
sulliv000noa,2024,2025,3 to 4,Transfer,BigS,SEC,14.499999999999998,13.700000000000001,12.1,16.5,0.453,0.475,0.613,0.645,1.066,1.12
hage--000col,2024,2025,3 to 4,Transfer,IVY,SEC,13.200000000000001,11.899999999999999,13.700000000000001,15.1,0.471,0.444,0.658,0.574,1.129,1.019
lawren001luk,2024,2025,2 to 3,Transfer,MVC,SEC,8.4,7.5,13.600000000000001,12.7,0.399,0.397,0.465,0.425,0.864,0.822
hensel000wya,2024,2025,4 to 5,Transfer,IVY,SEC,11.4,7.5,11.4,16.2,0.465,0.423,0.755,0.562,1.22,0.985
kaczma000hen,2024,2025,2 to 3,Transfer,BTen,SEC,11.3,10.6,16.6,20.7,0.417,0.394,0.476,0.486,0.892,0.88
